x_m,y_m,s_m
10.14100,6.46626,0.00000
10.14092,6.48720,0.02000
10.14084,6.50711,0.04000
10.14078,6.52693,0.05999
10.14074,6.54684,0.07999
10.14070,6.56701,0.09999
10.14062,6.58719,0.11999
10.14054,6.60710,0.13998
10.14048,6.62692,0.15998
10.14044,6.64683,0.17998
10.14040,6.66700,0.19998
10.14032,6.68717,0.21998
10.14024,6.70709,0.23997
10.14018,6.72691,0.25997
10.14014,6.74682,0.27997
10.14010,6.76699,0.29997
10.14002,6.78716,0.31996
10.13994,6.80707,0.33996
10.13988,6.82690,0.35996
10.13984,6.84681,0.37996
10.13980,6.86698,0.39996
10.13972,6.88715,0.41995
10.13964,6.90706,0.43995
10.13958,6.92689,0.45995
10.13954,6.94680,0.47995
10.13950,6.96697,0.49995
10.13942,6.98714,0.51994
10.13934,7.00705,0.53994
10.13928,7.02687,0.55994
10.13924,7.04678,0.57994
10.13920,7.06696,0.59993
10.13912,7.08713,0.61993
10.13904,7.10713,0.63993
10.13896,7.12712,0.65993
10.13888,7.14712,0.67993
10.13880,7.16695,0.69992
10.13876,7.18677,0.71992
10.13872,7.20685,0.73992
10.13866,7.22702,0.75992
10.13858,7.24711,0.77991
10.13850,7.26693,0.79991
10.13846,7.28676,0.81991
10.13842,7.30684,0.83991
10.13836,7.32701,0.85991
10.13828,7.34710,0.87990
10.13820,7.36692,0.89990
10.13816,7.38675,0.91990
10.13812,7.40683,0.93990
10.13806,7.42700,0.95989
10.13798,7.44709,0.97989
10.13790,7.46691,0.99989
10.13786,7.48673,1.01989
10.13782,7.50682,1.03989
10.13776,7.52699,1.05988
10.13768,7.54708,1.07988
10.13760,7.56690,1.09988
10.13756,7.58672,1.11988
10.13752,7.60681,1.13988
10.13746,7.62698,1.15987
10.13738,7.64706,1.17987
10.13730,7.66689,1.19987
10.13726,7.68671,1.21987
10.13722,7.70679,1.23986
10.13716,7.72697,1.25986
10.13708,7.74705,1.27986
10.13700,7.76705,1.29986
