x_m,y_m,s_m
9.79100,6.46674,0.00000
9.79092,6.48580,0.02000
9.79084,6.50588,0.04000
9.79078,6.52606,0.05999
9.79074,6.54614,0.07999
9.79070,6.56596,0.09999
9.79062,6.58579,0.11999
9.79054,6.60587,0.13998
9.79048,6.62604,0.15998
9.79044,6.64613,0.17998
9.79040,6.66595,0.19998
9.79032,6.68577,0.21998
9.79024,6.70586,0.23997
9.79018,6.72603,0.25997
9.79014,6.74612,0.27997
9.79010,6.76594,0.29997
9.79002,6.78576,0.31996
9.78994,6.80585,0.33996
9.78988,6.82602,0.35996
9.78984,6.84611,0.37996
9.78980,6.86593,0.39996
9.78972,6.88575,0.41995
9.78964,6.90584,0.43995
9.78958,6.92601,0.45995
9.78954,6.94610,0.47995
9.78950,6.96592,0.49995
9.78942,6.98574,0.51994
9.78934,7.00583,0.53994
9.78928,7.02600,0.55994
9.78924,7.04608,0.57994
9.78920,7.06591,0.59993
9.78912,7.08573,0.61993
9.78904,7.10573,0.63993
9.78896,7.12572,0.65993
9.78888,7.14572,0.67993
9.78880,7.16589,0.69992
9.78876,7.18607,0.71992
9.78872,7.20598,0.73992
9.78866,7.22580,0.75992
9.78858,7.24571,0.77991
9.78850,7.26588,0.79991
9.78846,7.28606,0.81991
9.78842,7.30597,0.83991
9.78836,7.32579,0.85991
9.78828,7.34570,0.87990
9.78820,7.36587,0.89990
9.78816,7.38604,0.91990
9.78812,7.40596,0.93990
9.78806,7.42578,0.95989
9.78798,7.44569,0.97989
9.78790,7.46586,0.99989
9.78786,7.48603,1.01989
9.78782,7.50594,1.03989
9.78776,7.52577,1.05988
9.78768,7.54568,1.07988
9.78760,7.56585,1.09988
9.78756,7.58602,1.11988
9.78752,7.60593,1.13988
9.78746,7.62576,1.15987
9.78738,7.64566,1.17987
9.78730,7.66584,1.19987
9.78726,7.68601,1.21987
9.78722,7.70592,1.23986
9.78716,7.72574,1.25986
9.78708,7.74565,1.27986
9.78700,7.76565,1.29986
9.78692,7.78565,1.31986
9.78684,7.80573,1.33985
9.78678,7.82591,1.35985
9.78674,7.84599,1.37985
9.78670,7.86582,1.39985
9.78662,7.88564,1.41984
9.78654,7.90572,1.43984
9.78648,7.92589,1.45984
9.78644,7.94598,1.47984
9.78640,7.96580,1.49984
9.78632,7.98563,1.51983
9.78624,8.00571,1.53983
9.78618,8.02588,1.55983
9.78614,8.04597,1.57983
9.78610,8.06579,1.59982
9.78602,8.08562,1.61982
9.78594,8.10570,1.63982
9.78588,8.12587,1.65982
9.78584,8.14596,1.67982
9.78580,8.16578,1.69981
9.78572,8.18560,1.71981
9.78564,8.20569,1.73981
9.78558,8.22586,1.75981
9.78554,8.24595,1.77981
9.78550,8.26577,1.79980
9.78542,8.28559,1.81980
9.78534,8.30559,1.83980
9.78526,8.32559,1.85980
9.78518,8.34558,1.87979
9.78510,8.36576,1.89979
9.78506,8.38593,1.91979
9.78502,8.40584,1.93979
9.78496,8.42566,1.95979
9.78488,8.44557,1.97978
9.78480,8.46574,1.99978
9.78476,8.48592,2.01978
9.78472,8.50583,2.03978
9.78466,8.52565,2.05977
9.78458,8.54556,2.07977
9.78450,8.56573,2.09977
9.78446,8.58590,2.11977
9.78442,8.60582,2.13977
9.78436,8.62564,2.15976
9.78428,8.64555,2.17976
9.78420,8.66572,2.19976
9.78416,8.68589,2.21976
9.78412,8.70581,2.23975
9.78406,8.72563,2.25975
9.78398,8.74554,2.27975
9.78390,8.76571,2.29975
9.78386,8.78588,2.31975
9.78382,8.80580,2.33974
9.78376,8.82562,2.35974
9.78368,8.84553,2.37974
9.78360,8.86570,2.39974
9.78356,8.88587,2.41974
9.78352,8.90579,2.43973
9.78346,8.92561,2.45973
9.78338,8.94552,2.47973
9.78330,8.96551,2.49973
9.78322,8.98551,2.51972
9.78314,9.00559,2.53972
9.78308,9.02577,2.55972
9.78304,9.04585,2.57972
9.78300,9.06568,2.59972
9.78292,9.08550,2.61971
9.78284,9.10558,2.63971
9.78278,9.12575,2.65971
9.78274,9.14584,2.67971
9.78270,9.16567,2.69970
9.78262,9.18549,2.71970
9.78254,9.20557,2.73970
9.78248,9.22574,2.75970
9.78244,9.24583,2.77970
9.78240,9.26566,2.79969
9.78232,9.28548,2.81969
9.78224,9.30556,2.83969
9.78218,9.32573,2.85969
9.78214,9.34582,2.87968
9.78210,9.36565,2.89968
9.78202,9.38547,2.91968
9.78194,9.40555,2.93968
9.78188,9.42572,2.95968
9.78184,9.44581,2.97967
9.78180,9.46563,2.99967
9.78172,9.48546,3.01967
9.78164,9.50554,3.03967
9.78158,9.52571,3.05966
9.78154,9.54580,3.07966
9.78150,9.56562,3.09966
9.78142,9.58545,3.11966
9.78134,9.60544,3.13966
9.78126,9.62544,3.15965
9.78118,9.64544,3.17965
9.78110,9.66560,3.19965
9.78106,9.68578,3.21965
9.78102,9.70569,3.23965
9.78096,9.72552,3.25964
9.78088,9.74542,3.27964
9.78080,9.76559,3.29964
